Block size;Entropy
1024;4,57972
2048;4,45644
3072;4,39733
4096;4,36186
5120;4,33642
6144;4,31739
7168;4,30222
8192;4,29109
9216;4,28115
10240;4,27211
11264;4,26565
12288;4,25826
13312;4,25316
14336;4,24776
15360;4,24205
16384;4,2385
17408;4,23524
18432;4,23139
19456;4,22786
20480;4,2253
21504;4,22254
22528;4,21943
23552;4,21698
24576;4,21434
25600;4,21248
26624;4,21068
27648;4,20822
28672;4,20625
29696;4,20577
30720;4,20279
31744;4,20219
32768;4,20055
33792;4,19895
34816;4,19824
35840;4,19585
36864;4,19446
37888;4,19382
38912;4,19199
39936;4,19191
40960;4,19107
41984;4,18979
43008;4,18868
44032;4,18797
45056;4,18619
46080;4,18528
47104;4,18496
48128;4,1839
49152;4,18306
50176;4,18264
51200;4,18132
52224;4,18095
53248;4,18001
54272;4,17928
55296;4,17845
56320;4,1779
57344;4,17711
58368;4,17644
59392;4,1765
60416;4,1751
61440;4,17444
62464;4,17428
63488;4,17367
64512;4,17293
65536;4,17294
66560;4,17206
67584;4,17142
68608;4,17093
69632;4,17094
70656;4,17061
71680;4,16956
72704;4,16947
73728;4,1687
74752;4,16822
75776;4,16803
76800;4,16753
77824;4,16731
78848;4,16706
79872;4,16708
80896;4,16618
81920;4,16635
82944;4,16515
83968;4,16545
84992;4,16453
86016;4,16436
87040;4,16379
88064;4,16381
89088;4,16363
90112;4,16299
91136;4,16274
92160;4,16214
93184;4,16201
94208;4,16166
95232;4,1614
96256;4,161
97280;4,16055
98304;4,16069
99328;4,16005
100352;4,16018
101376;4,15986
102400;4,15957
103424;4,15904
104448;4,15924
105472;4,15846
106496;4,15837
107520;4,158
108544;4,15807
109568;4,15771
110592;4,15747
111616;4,1574
112640;4,15687
113664;4,15687
114688;4,15675
115712;4,15638
116736;4,15614
117760;4,15588
118784;4,15564
119808;4,15555
120832;4,15505
121856;4,15509
122880;4,1552
123904;4,15438
124928;4,15475
125952;4,15465
126976;4,15406
128000;4,15401
129024;4,15405
130048;4,15364
131072;4,15383
